timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732083434623,98,HTTP Request,200,OK,Students 1-1,text,true,,965,134,3,3,http://quiz-fe-test.hematitecorp.com/#/student-registration,98,0,38
1732083434674,83,HTTP Request,200,OK,Students 1-2,text,true,,965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/student-registration,83,0,35
1732083434719,89,HTTP Request,200,OK,Students 1-3,text,true,,965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/student-registration,89,0,35
1732083434771,93,HTTP Request,200,OK,Students 1-4,text,true,,965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/student-registration,93,0,35
1732083434820,99,HTTP Request,200,OK,Students 1-5,text,true,,965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/student-registration,99,0,38
1732083434878,95,HTTP Request,200,OK,Students 1-6,text,true,,965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/student-registration,95,0,36
1732083434927,98,HTTP Request,200,OK,Students 1-7,text,true,,965,134,3,3,http://quiz-fe-test.hematitecorp.com/#/student-registration,98,0,37
1732083434977,97,HTTP Request,200,OK,Students 1-8,text,true,,965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/student-registration,97,0,36
1732083435026,99,HTTP Request,200,OK,Students 1-9,text,true,,965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/student-registration,99,0,36
1732083435078,82,HTTP Request,200,OK,Students 1-10,text,true,,965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/student-registration,82,0,35
1732083435130,87,HTTP Request,200,OK,Students 1-11,text,true,,965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/student-registration,87,0,36
1732083435179,87,HTTP Request,200,OK,Students 1-12,text,true,,965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/student-registration,87,0,35
1732083435229,101,HTTP Request,200,OK,Students 1-13,text,true,,965,134,3,3,http://quiz-fe-test.hematitecorp.com/#/student-registration,101,0,35
1732083435279,98,HTTP Request,200,OK,Students 1-14,text,true,,965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/student-registration,98,0,46
1732083435330,91,HTTP Request,200,OK,Students 1-15,text,true,,965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/student-registration,91,0,39
1732083435378,97,HTTP Request,200,OK,Students 1-16,text,true,,965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/student-registration,97,0,36
1732083435429,96,HTTP Request,200,OK,Students 1-17,text,true,,965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/student-registration,96,0,44
1732083435477,84,HTTP Request,200,OK,Students 1-18,text,true,,965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/student-registration,83,0,35
1732083435527,89,HTTP Request,200,OK,Students 1-19,text,true,,965,134,2,2,http://quiz-fe-test.hematitecorp.com/#/student-registration,89,0,37
1732083435579,82,HTTP Request,200,OK,Students 1-20,text,true,,965,134,1,1,http://quiz-fe-test.hematitecorp.com/#/student-registration,82,0,34
